close,datetime,symbol
46.92,2022-04-06 00:00:00,SLCE3
38.27,2022-04-07 00:00:00,ELET6
45.13,2022-04-07 00:00:00,SLCE3
90.8,2022-04-07 00:00:00,UNIP6
30.45,2022-04-07 00:00:00,CPFE3
39.99,2022-04-07 00:00:00,ELET3
44.14,2022-04-07 00:00:00,RRRP3
23.94,2022-04-07 00:00:00,RECV3
27.93,2022-04-07 00:00:00,LOGN3
45.84,2022-04-07 00:00:00,SMTO3
38.62,2022-04-07 00:00:00,HYPE3
38.92,2022-04-08 00:00:00,HYPE3
46.59,2022-04-08 00:00:00,SMTO3
88.76,2022-04-08 00:00:00,UNIP6
44.1,2022-04-08 00:00:00,RRRP3
46,2022-04-08 00:00:00,SLCE3
30.8,2022-04-08 00:00:00,CPFE3
27.28,2022-04-08 00:00:00,LOGN3
23.38,2022-04-08 00:00:00,RECV3
39.8,2022-04-08 00:00:00,ELET6
42.11,2022-04-08 00:00:00,ELET3
39.3,2022-04-11 00:00:00,HYPE3
88.41,2022-04-11 00:00:00,UNIP6
46.18,2022-04-11 00:00:00,SMTO3
40.96,2022-04-11 00:00:00,ELET3
44.14,2022-04-11 00:00:00,RRRP3
38.99,2022-04-11 00:00:00,ELET6
46.5,2022-04-11 00:00:00,SLCE3
22.71,2022-04-11 00:00:00,RECV3
27.31,2022-04-11 00:00:00,LOGN3
30.84,2022-04-11 00:00:00,CPFE3
23.62,2022-04-12 00:00:00,RECV3
88.25,2022-04-12 00:00:00,UNIP6
27.6,2022-04-12 00:00:00,LOGN3
44.23,2022-04-12 00:00:00,RRRP3
41.47,2022-04-12 00:00:00,ELET3
30.8,2022-04-12 00:00:00,CPFE3
39.29,2022-04-12 00:00:00,HYPE3
46.4,2022-04-12 00:00:00,SMTO3
39.43,2022-04-12 00:00:00,ELET6
45.91,2022-04-12 00:00:00,SLCE3
40.93,2022-04-13 00:00:00,ELET6
45.11,2022-04-13 00:00:00,RRRP3
39.39,2022-04-13 00:00:00,HYPE3
46.55,2022-04-13 00:00:00,SMTO3
87.93,2022-04-13 00:00:00,UNIP6
31.4,2022-04-13 00:00:00,CPFE3
45.55,2022-04-13 00:00:00,SLCE3
24.84,2022-04-13 00:00:00,RECV3
42.6,2022-04-13 00:00:00,ELET3
28.94,2022-04-13 00:00:00,LOGN3
42.6,2022-04-14 00:00:00,ELET3
88.17,2022-04-14 00:00:00,UNIP6
28.94,2022-04-14 00:00:00,LOGN3
40.97,2022-04-14 00:00:00,ELET6
44.4,2022-04-14 00:00:00,RRRP3
46.56,2022-04-14 00:00:00,SMTO3
31.96,2022-04-14 00:00:00,CPFE3
38.74,2022-04-14 00:00:00,HYPE3
45.91,2022-04-14 00:00:00,SLCE3
24.82,2022-04-14 00:00:00,RECV3
24.71,2022-04-18 00:00:00,RECV3
40.21,2022-04-18 00:00:00,ELET6
38.66,2022-04-18 00:00:00,HYPE3
46.56,2022-04-18 00:00:00,SMTO3
88.22,2022-04-18 00:00:00,UNIP6
47.63,2022-04-18 00:00:00,SLCE3
44.71,2022-04-18 00:00:00,RRRP3
28.23,2022-04-18 00:00:00,LOGN3
41.69,2022-04-18 00:00:00,ELET3
32.41,2022-04-18 00:00:00,CPFE3
39.85,2022-04-19 00:00:00,ELET3
46.65,2022-04-19 00:00:00,SMTO3
38.88,2022-04-19 00:00:00,ELET6
47.75,2022-04-19 00:00:00,SLCE3
43.26,2022-04-19 00:00:00,RRRP3
24.71,2022-04-19 00:00:00,RECV3
37.88,2022-04-19 00:00:00,HYPE3
32.02,2022-04-19 00:00:00,CPFE3
27.25,2022-04-19 00:00:00,LOGN3
92.16,2022-04-19 00:00:00,UNIP6
32.12,2022-04-20 00:00:00,CPFE3
41.42,2022-04-20 00:00:00,ELET3
40.67,2022-04-20 00:00:00,ELET6
43.79,2022-04-20 00:00:00,RRRP3
48.39,2022-04-20 00:00:00,SLCE3
46.61,2022-04-20 00:00:00,SMTO3
93.14,2022-04-20 00:00:00,UNIP6
27.4,2022-04-20 00:00:00,LOGN3
37.8,2022-04-20 00:00:00,HYPE3
24.93,2022-04-20 00:00:00,RECV3
39.05,2022-04-22 00:00:00,ELET6
